"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0044419","BP","GO:0044419","biological process involved in interspecies interaction between organisms",39,-0.424213761567705,-2.38802816939326,0.000128843598183834,0.000128843598183834,0.00597879503853056,75,"tags=41%, list=14%, signal=38%","81035/254773/4841/4179/725/3678/2332/5452/387836/3684/54209/9844/6891/100049587/4063/27293"
"GO:1903131","BP","GO:1903131","mononuclear cell differentiation",10,-0.676112868236437,-2.31177683249321,0.000196922883312178,0.000196922883312178,0.00843499637831111,51,"tags=60%, list=9%, signal=55%","4179/29781/6688/54209/4063/5914"
"GO:0045321","BP","GO:0045321","leukocyte activation",22,-0.488761957794116,-2.26784239886853,0.00041350295129298,0.00041350295129298,0.0164468467093223,51,"tags=50%, list=9%, signal=47%","965/8778/4179/2319/3684/29781/6688/54209/100049587/4063/5914"
"GO:0002682","BP","GO:0002682","regulation of immune system process",31,-0.429501558300086,-2.24736345884934,0.000531013269782725,0.000531013269782725,0.019712703137899,54,"tags=39%, list=10%, signal=37%","8891/4841/4179/725/2319/3684/6688/9976/54209/9844/3802/5914"
"GO:0002521","BP","GO:0002521","leukocyte differentiation",11,-0.61191973444098,-2.17506537469483,0.00106269925611052,0.00106269925611052,0.0352941934637659,51,"tags=55%, list=9%, signal=50%","4179/29781/6688/54209/4063/5914"
"GO:0006952","BP","GO:0006952","defense response",30,-0.415381655733624,-2.14950345924842,0.00107750704052896,0.00107750704052896,0.0352941934637659,106,"tags=47%, list=19%, signal=40%","965/10437/107/81035/254773/4841/4179/725/387836/3684/54209/100049587/4063/27293"
"GO:0002263","BP","GO:0002263","cell activation involved in immune response",14,-0.550750094630885,-2.15359150055562,0.00146947397423828,0.00146947397423828,0.0430665779707508,106,"tags=57%, list=19%, signal=47%","965/8778/4179/3684/54209/100049587/4063/5914"
"GO:0002366","BP","GO:0002366","leukocyte activation involved in immune response",14,-0.550750094630885,-2.15359150055562,0.00146947397423828,0.00146947397423828,0.0430665779707508,106,"tags=57%, list=19%, signal=47%","965/8778/4179/3684/54209/100049587/4063/5914"
"GO:0046649","BP","GO:0046649","lymphocyte activation",12,-0.577653622388887,-2.12788999048161,0.00172731198436328,0.00172731198436328,0.0480920020909566,51,"tags=50%, list=9%, signal=46%","4179/2319/29781/6688/4063/5914"
"GO:0006909","BP","GO:0006909","phagocytosis",10,-0.614506422247064,-2.10113100505619,0.0020272096585278,0.0020272096585278,0.0537540806697345,75,"tags=60%, list=14%, signal=53%","81035/725/3684/54209/9844/5914"
"GO:0031410","CC","GO:0031410","cytoplasmic vesicle",40,-0.334272863544481,-1.89586376489493,0.00390202149887974,0.00390202149887974,0.0938545921532831,168,"tags=55%, list=31%, signal=41%","23678/312/6861/3320/57127/55357/3736/51009/223082/965/8778/124460/81035/4179/3678/2319/255738/3684/7109/2162/6891/100049587"
"GO:0097708","CC","GO:0097708","intracellular vesicle",40,-0.334272863544481,-1.89586376489493,0.00390202149887974,0.00390202149887974,0.0938545921532831,168,"tags=55%, list=31%, signal=41%","23678/312/6861/3320/57127/55357/3736/51009/223082/965/8778/124460/81035/4179/3678/2319/255738/3684/7109/2162/6891/100049587"
"GO:0001775","BP","GO:0001775","cell activation",27,-0.390352269703508,-1.94922225125125,0.00404515066369538,0.00404515066369538,0.0938545921532831,51,"tags=33%, list=9%, signal=32%","4179/2319/3684/29781/6688/54209/100049587/4063/5914"
"GO:0042110","BP","GO:0042110","T cell activation",10,-0.578254798358691,-1.97717882461035,0.00533831876745653,0.00533831876745653,0.118904026441453,51,"tags=50%, list=9%, signal=46%","4179/2319/29781/4063/5914"
"GO:0005488","MF","GO:0005488","binding",251,-0.189664895518764,-1.5915767781447,0.00567533187644737,0.00567533187644737,0.119894089776649,103,"tags=25%, list=19%, signal=37%","5636/55759/10437/100289635/23254/154043/1936/84889/8778/393/1412/4005/65263/124460/79724/107/81035/54360/84498/51455/80324/254773/340348/56606/8908/64963/5339/8891/4841/4179/3563/725/3678/55118/2319/57458/2332/5452/255738/387836/10659/3684/7109/79961/29781/6688/2162/9976/54209/9844/8382/64131/4494/65988/3802/91289/6891/100049587/3067/56894/27293/5914"
"GO:0009986","CC","GO:0009986","cell surface",27,-0.380616222009062,-1.90060534217148,0.0058133901753706,0.0058133901753706,0.119894089776649,66,"tags=37%, list=12%, signal=34%","340348/4179/3563/3678/255738/387836/3684/9976/4063/5914"
"GO:0048583","BP","GO:0048583","regulation of response to stimulus",65,-0.270586895083938,-1.76634667442189,0.00671744419760922,0.00671744419760922,0.133591277463732,54,"tags=25%, list=10%, signal=25%","8891/4841/4179/725/3678/2332/255738/3684/6688/9976/54209/9844/8382/3802/27293/5914"
"GO:0010629","BP","GO:0010629","negative regulation of gene expression",16,-0.464927815311053,-1.91533195061493,0.00716820933955042,0.00716820933955042,0.137640026882837,51,"tags=44%, list=9%, signal=41%","4179/2319/100128537/2332/6688/54209/5914"
"GO:0001819","BP","GO:0001819","positive regulation of cytokine production",11,-0.537006414542743,-1.90878638573078,0.00825287720170936,0.00825287720170936,0.142881915171604,157,"tags=73%, list=29%, signal=53%","3320/947/965/4179/5452/54209/4063/5914"
"GO:0009887","BP","GO:0009887","animal organ morphogenesis",15,0.493019820297442,1.86028290904126,0.00879299385549827,0.00879299385549827,0.142881915171604,209,"tags=80%, list=38%, signal=51%","6585/5087/6091/1758/1834/55081/5314/1112/6382/10913/4089/55764"
"GO:0016192","BP","GO:0016192","vesicle-mediated transport",41,-0.312423338369038,-1.78800206026507,0.00879891085114966,0.00879891085114966,0.142881915171604,76,"tags=32%, list=14%, signal=30%","107/81035/725/2332/255738/3684/7109/2162/54209/9844/6891/100049587/5914"
"GO:0002694","BP","GO:0002694","regulation of leukocyte activation",10,-0.55427502766621,-1.89518677721747,0.00882962429047662,0.00882962429047662,0.142881915171604,51,"tags=50%, list=9%, signal=46%","4179/2319/3684/54209/5914"
"GO:0050865","BP","GO:0050865","regulation of cell activation",10,-0.55427502766621,-1.89518677721747,0.00882962429047662,0.00882962429047662,0.142881915171604,51,"tags=50%, list=9%, signal=46%","4179/2319/3684/54209/5914"
"GO:0005815","CC","GO:0005815","microtubule organizing center",14,0.506123250082251,1.86182730203535,0.00898076309916038,0.00898076309916038,0.142881915171604,210,"tags=79%, list=38%, signal=50%","57562/4659/6525/54903/55081/5314/79598/93973/4089/55764/27436"
"GO:0002443","BP","GO:0002443","leukocyte mediated immunity",13,-0.491694997922671,-1.86789960892058,0.0100936119566959,0.0100936119566959,0.154813429181959,106,"tags=54%, list=19%, signal=44%","965/8778/4179/725/387836/3684/100049587"
"GO:0098588","CC","GO:0098588","bounding membrane of organelle",32,-0.340495441339235,-1.80097710631311,0.0102867524305215,0.0102867524305215,0.154813429181959,115,"tags=41%, list=21%, signal=34%","223082/965/8778/124460/81035/4179/255738/3684/7109/64131/6891/100049587/56894"
"GO:0051345","BP","GO:0051345","positive regulation of hydrolase activity",11,0.543579449105001,1.82557060508878,0.0110782468405485,0.0110782468405485,0.160348663124157,118,"tags=64%, list=22%, signal=51%","9610/6091/1956/4659/55081/10563/9290"
"GO:0048666","BP","GO:0048666","neuron development",18,0.451568645955727,1.8183075511995,0.01123046875,0.01123046875,0.160348663124157,53,"tags=39%, list=10%, signal=36%","266977/6585/5789/5087/7473/6091/1956"
"GO:0048584","BP","GO:0048584","positive regulation of response to stimulus",38,-0.302470165586636,-1.68905139229737,0.0188306491947584,0.0188306491947584,0.239120469572722,54,"tags=29%, list=10%, signal=28%","8891/4841/4179/725/3678/2332/3684/6688/54209/9844/5914"
"GO:0002520","BP","GO:0002520","immune system development",16,-0.42541248622271,-1.75254329859304,0.0188368478437377,0.0188368478437377,0.239120469572722,51,"tags=44%, list=9%, signal=41%","4005/4179/29781/6688/54209/4063/5914"
"GO:0030097","BP","GO:0030097","hemopoiesis",16,-0.42541248622271,-1.75254329859304,0.0188368478437377,0.0188368478437377,0.239120469572722,51,"tags=44%, list=9%, signal=41%","4005/4179/29781/6688/54209/4063/5914"
"GO:0048534","BP","GO:0048534","hematopoietic or lymphoid organ development",16,-0.42541248622271,-1.75254329859304,0.0188368478437377,0.0188368478437377,0.239120469572722,51,"tags=44%, list=9%, signal=41%","4005/4179/29781/6688/54209/4063/5914"
"GO:0050896","BP","GO:0050896","response to stimulus",145,-0.1950614591245,-1.52187031569784,0.0193187595322827,0.0193187595322827,0.239120469572722,101,"tags=27%, list=18%, signal=30%","55759/10437/154043/1936/8778/393/4005/107/81035/54360/84498/51455/254773/64963/5339/8891/4841/4179/3563/725/3678/2332/5452/255738/387836/3684/6688/2162/9976/54209/9844/8382/4494/3802/6891/100049587/4063/27293/5914"
"GO:0061024","BP","GO:0061024","membrane organization",16,-0.424550126089247,-1.74899069136636,0.0193240077017654,0.0193240077017654,0.239120469572722,44,"tags=38%, list=8%, signal=36%","2319/3684/7109/54209/9844/6891"
"GO:0009897","CC","GO:0009897","external side of plasma membrane",16,-0.421382460566835,-1.73594107208325,0.0205071102141184,0.0205071102141184,0.248243965749854,49,"tags=38%, list=9%, signal=35%","3563/3678/255738/387836/3684/9976"
"GO:0009605","BP","GO:0009605","response to external stimulus",48,-0.274183595455579,-1.64373340658614,0.0209938810517422,0.0209938810517422,0.248729296223329,75,"tags=29%, list=14%, signal=28%","81035/254773/4841/4179/725/2332/5452/255738/387836/3684/54209/100049587/4063/27293"
"GO:0002274","BP","GO:0002274","myeloid leukocyte activation",12,-0.471511430997956,-1.73689632598332,0.0225686947430623,0.0225686947430623,0.261816656120175,106,"tags=50%, list=19%, signal=41%","965/8778/3684/6688/54209/100049587"
"GO:0000323","CC","GO:0000323","lytic vacuole",10,-0.50348387853047,-1.72152080015364,0.0246869087305163,0.0246869087305163,0.269543337841963,216,"tags=90%, list=39%, signal=56%","5549/158376/824/9374/3320/947/223082/10437/255738"
"GO:0005764","CC","GO:0005764","lysosome",10,-0.50348387853047,-1.72152080015364,0.0246869087305163,0.0246869087305163,0.269543337841963,216,"tags=90%, list=39%, signal=56%","5549/158376/824/9374/3320/947/223082/10437/255738"
"GO:0005773","CC","GO:0005773","vacuole",10,-0.50348387853047,-1.72152080015364,0.0246869087305163,0.0246869087305163,0.269543337841963,216,"tags=90%, list=39%, signal=56%","5549/158376/824/9374/3320/947/223082/10437/255738"
"GO:0006915","BP","GO:0006915","apoptotic process",26,-0.336796907382737,-1.65857424986613,0.0270544470747379,0.0270544470747379,0.28479231630621,53,"tags=31%, list=10%, signal=29%","4841/3678/255738/3684/6688/54209/9844/8382"
"GO:0005515","MF","GO:0005515","protein binding",216,-0.174182158716381,-1.442388488883,0.0271064142268765,0.0271064142268765,0.28479231630621,103,"tags=25%, list=19%, signal=33%","5636/55759/10437/23254/154043/1936/84889/8778/393/1412/4005/65263/124460/79724/107/54360/84498/51455/254773/340348/56606/64963/5339/8891/4841/4179/3563/725/3678/55118/2319/57458/2332/255738/387836/3684/7109/79961/29781/6688/2162/9976/54209/9844/8382/4494/65988/3802/91289/6891/3067/56894/5914"
"GO:0030030","BP","GO:0030030","cell projection organization",32,0.33761290985244,1.64578641428172,0.0294752826050278,0.0294752826050278,0.298419607618368,97,"tags=38%, list=18%, signal=33%","266977/6585/5789/10382/57562/7473/6091/1956/79809/85452/54903/55081"
"GO:0120036","BP","GO:0120036","plasma membrane bounded cell projection organization",32,0.33761290985244,1.64578641428172,0.0294752826050278,0.0294752826050278,0.298419607618368,97,"tags=38%, list=18%, signal=33%","266977/6585/5789/10382/57562/7473/6091/1956/79809/85452/54903/55081"
"GO:1901699","BP","GO:1901699","cellular response to nitrogen compound",10,-0.489054713751038,-1.67218434995957,0.0317821425353635,0.0317821425353635,0.313512549680699,76,"tags=50%, list=14%, signal=44%","107/81035/2332/255738/54209"
"GO:0030182","BP","GO:0030182","neuron differentiation",20,0.394973183219695,1.64811152131325,0.0320920691213796,0.0320920691213796,0.313512549680699,53,"tags=35%, list=10%, signal=33%","266977/6585/5789/5087/7473/6091/1956"
"GO:0048812","BP","GO:0048812","neuron projection morphogenesis",12,0.476681082008094,1.65555670232231,0.0328685436789202,0.0328685436789202,0.314007298549455,53,"tags=42%, list=10%, signal=38%","6585/5789/7473/6091/1956"
"GO:0009892","BP","GO:0009892","negative regulation of metabolic process",35,-0.294859227458028,-1.6056772323915,0.0332705275684252,0.0332705275684252,0.314007298549455,53,"tags=29%, list=10%, signal=28%","4841/4179/2319/100128537/2332/255738/3684/6688/54209/5914"
"GO:0015630","CC","GO:0015630","microtubule cytoskeleton",19,0.398823508356556,1.63612059081899,0.0341148416966912,0.0341148416966912,0.316609671185082,210,"tags=68%, list=38%, signal=44%","10382/57562/163782/4659/6525/54903/55081/5314/79598/93973/4089/55764/27436"
"GO:0031175","BP","GO:0031175","neuron projection development",17,0.413535579860043,1.63152705701554,0.0353652128218602,0.0353652128218602,0.322833435423021,53,"tags=35%, list=10%, signal=33%","266977/6585/5789/7473/6091/1956"
"GO:0001817","BP","GO:0001817","regulation of cytokine production",15,-0.404479312753233,-1.62480214526502,0.0376518872057366,0.0376518872057366,0.338163808689892,51,"tags=53%, list=9%, signal=50%","3320/947/965/4179/5452/54209/4063/5914"
"GO:0001816","BP","GO:0001816","cytokine production",16,-0.392488884978325,-1.61691014584117,0.0390655809961259,0.0390655809961259,0.341825916363183,157,"tags=56%, list=29%, signal=41%","3320/947/9289/965/4179/5452/54209/4063/5914"
"GO:0005813","CC","GO:0005813","centrosome",11,0.484433751233249,1.62693423715782,0.0393833467778077,0.0393833467778077,0.341825916363183,162,"tags=64%, list=30%, signal=46%","57562/4659/54903/55081/5314/79598/93973"
"GO:0005929","CC","GO:0005929","cilium",15,0.425902166707582,1.60703178458781,0.0417932057348683,0.0417932057348683,0.341825916363183,124,"tags=53%, list=23%, signal=42%","10382/57562/65217/79809/85452/54903/55081/5314"
"GO:0080134","BP","GO:0080134","regulation of response to stress",19,-0.363607709897097,-1.59843415213524,0.0424166940828124,0.0424166940828124,0.341825916363183,53,"tags=32%, list=10%, signal=30%","4841/2332/6688/54209/8382/27293"
"GO:0045055","BP","GO:0045055","regulated exocytosis",15,-0.398435433567718,-1.60052375189181,0.043070254317401,0.043070254317401,0.341825916363183,106,"tags=60%, list=19%, signal=50%","6861/3320/965/8778/107/2332/3684/2162/100049587"
"GO:0002275","BP","GO:0002275","myeloid cell activation involved in immune response",10,-0.471550651185467,-1.6123341559836,0.0435399585548248,0.0435399585548248,0.341825916363183,106,"tags=60%, list=19%, signal=49%","3320/965/8778/3684/54209/100049587"
"GO:1903706","BP","GO:1903706","regulation of hemopoiesis",10,-0.471394722968285,-1.61180100352201,0.0436300567618704,0.0436300567618704,0.341825916363183,51,"tags=40%, list=9%, signal=37%","4179/6688/54209/5914"
"GO:0048858","BP","GO:0048858","cell projection morphogenesis",13,0.447558435815104,1.6022168807163,0.0436643227501953,0.0436643227501953,0.341825916363183,53,"tags=38%, list=10%, signal=36%","6585/5789/7473/6091/1956"
"GO:0120039","BP","GO:0120039","plasma membrane bounded cell projection morphogenesis",13,0.447558435815104,1.6022168807163,0.0436643227501953,0.0436643227501953,0.341825916363183,53,"tags=38%, list=10%, signal=36%","6585/5789/7473/6091/1956"
"GO:0012501","BP","GO:0012501","programmed cell death",28,-0.308779293333169,-1.5606307916072,0.0442525240238414,0.0442525240238414,0.341825916363183,53,"tags=29%, list=10%, signal=27%","4841/3678/255738/3684/6688/54209/9844/8382"
"GO:0098552","CC","GO:0098552","side of membrane",18,-0.369262250735707,-1.59057594392575,0.0448121499050789,0.0448121499050789,0.341825916363183,49,"tags=33%, list=9%, signal=31%","3563/3678/255738/387836/3684/9976"
"GO:1901137","BP","GO:1901137","carbohydrate derivative biosynthetic process",13,-0.419767250631349,-1.59465336561198,0.0462108901146689,0.0462108901146689,0.347630836887958,103,"tags=46%, list=19%, signal=38%","5636/107/54360/54209/8382/64131"
"GO:0006897","BP","GO:0006897","endocytosis",19,-0.358513250820115,-1.57603870464155,0.0472341025520515,0.0472341025520515,0.347630836887958,75,"tags=37%, list=14%, signal=33%","81035/725/2332/255738/3684/54209/9844"
"GO:0070887","BP","GO:0070887","cellular response to chemical stimulus",51,-0.245785668591583,-1.50109497782727,0.047812556261413,0.047812556261413,0.347630836887958,106,"tags=33%, list=19%, signal=30%","965/10437/4005/107/81035/4841/3563/3678/2332/255738/3684/6688/2162/54209/8382/4494/5914"
"GO:1901566","BP","GO:1901566","organonitrogen compound biosynthetic process",32,-0.290923895710083,-1.53877912077911,0.0480703132672101,0.0480703132672101,0.347630836887958,103,"tags=38%, list=19%, signal=32%","5636/1936/65263/107/54360/64963/8891/2332/54209/8382/64131/3067"
"GO:0060271","BP","GO:0060271","cilium assembly",12,0.455992754363138,1.58370426096223,0.0489189623466819,0.0489189623466819,0.349232538210455,124,"tags=58%, list=23%, signal=46%","10382/57562/79809/85452/54903/55081/5314"
